ln,dob,gn,fn
SMITH JR,01/03/68,F,WILLIAM
ROTHMEYER JR,01/03/68,F,WILLIAM
ASBY JR,01/03/68,F,WILLIAM
SALTER JR,01/03/68,F,WILLIAM
SALTER JR,01/03/68,F,WILLIAM
BLAND JR,21/02/62,F,WILLIAM
BLAND JR,21/02/62,F,WILLIAM
BLAND JR,21/02/62,F,WILLIAM
SHAFFER JR,21/02/62,F,WILLIAM
SHAFFER JR,21/02/62,F,WILLIAM
BLAND III,21/02/62,F,WILLIAM
BLAND JR,21/02/62,F,BILL
BLAND,21/02/62,F,WILLIAM
BLAND JR,21/02/62,F,WILLIAM
BLAND JR,08/06/54,F,WILLIAM
BLAND JR,08/06/54,F,WILLIAM
BLAND JR,25/10/53,F,WILLIAM
BLAND JR,25/10/53,F,WILLIAM
SHAFFER JR,25/10/53,F,WILLIAM
DUNCAN JR,25/10/53,F,THOMAS
CARLSON JR,25/10/53,F,ROY
CARLSON JR,25/10/53,F,RON
DUNCAN JR,25/10/53,F,ROY
MICHAELSON,25/10/53,M,ROY
MICHAELSON JR,25/10/53,M,ROY
MICHAELSON,25/10/53,M,ROY
MICHAELSON JR,25/10/53,M,ROY
MICHAELSON JR,01/05/51,M,ROY
MICHAELSON JR,17/06/48,M,ROY
MICHAELSON JR,17/06/48,M,ROY
MICHAELSON JR,09/04/47,M,ROY
MICHAELSON JR,09/04/47,M,ROBERT
MICHAELSON JR,09/04/47,M,BOB
MUSTAPHA JR,11/03/47,M,OWEN
MUSTAPHA JR,11/03/47,M,OWAN
HOUGHTON JR,31/01/46,M,LAWRENCE
HOUGHTON JR,31/01/46,M,LAWRENCE
HOUGHTON JR,31/01/46,M,LAWRENCE
LIND JR,31/01/46,M,LAWRENCE
LIND JR,31/01/46,M,LAWRENCE
LIND JR,31/01/46,M,KENNETH
LIND JR,31/01/46,M,KENNETH
LIND JR,20/01/46,M,JOHN
CAIN JR,20/01/46,M,JOHN
CLARK,09/06/45,M,JOHN
CLARK,09/02/45,M,RONALD
CLARK,09/02/45,M,DONALD
CLARK,16/12/44,M,JOHN
CLARK JR,16/12/44,M,JOHN
CLARK JR,16/12/44,M,JOHN
MICHAELSON JR,16/12/44,M,JOHN
MICHAELSON JR,16/12/44,M,JOHN
MICHAELSON JR,16/12/44,M,JOHN
MICHAELSON JR,24/04/40,M,JOHN
MICHAELSON JR,24/04/40,M,JOHN
MICHAELSON JR,24/06/39,M,JOHN
MICHAELSON JR,24/06/39,M,JOHN
MICHAELSON JR,24/06/39,M,JOHN
MICHAELSON JR,24/06/39,M,JAMES
MICHAELSON JR,24/06/39,M,JAMES
MICHAELSON JR,24/06/39,M,JACK
MICHAELSON JR,09/06/39,M,JACK
LARSON JR,09/06/39,M,HAROLD
LARSON JR,09/06/39,M,HAROLD
MUSTAPHA JR,07/10/37,M,HAROLD
HOUGHTON JR,07/10/37,M,HAROLD
MELVIN JR,07/10/37,M,HAROLD
MELVIN JR,07/10/37,M,HAROLD
MELVIN JR,07/10/37,M,HAROLD
MELVIN JR,07/10/37,M,HAROLD
MELVIN JR,07/10/37,M,HAROLD
MELVIN JR,07/10/37,M,HAROLD
MELVIN JR,07/10/37,M,HAROLD
MELVIN JR,07/10/37,M,HAROLD
MELVIN JR,07/10/37,M,HAROLD
CHAVAS JR,07/10/37,M,HAROLD
CHAVAS JR,07/10/37,M,HAROLD
CHAVAS JR,07/10/37,M,HAROLD
CHAVAS JR,07/10/37,M,HAROLD
MICHAELSON JR,07/10/37,M,HAROLD
MICHAELSON JR,07/10/37,M,HAROLD
SMITH JR,07/10/37,M,HAROLD
CHAVAS JR,07/10/37,M,HAROLD
CHAVAS JR,07/10/37,M,HAROLD
FAGEN JR,07/10/37,M,HAROLD
FAGEN JR,07/10/37,M,HAROLD
FAGEN JR,07/10/37,M,GEORGE
GRIFFIN JR,07/10/37,M,DARH
GRIFFIN JR,10/07/37,M,DARL
GRIFFIN JR,07/05/37,M,DARL
GRIFFIN JR,07/05/37,M,CLIFFORD
GRIFFIN JR,07/05/37,M,CLIFFORD
GRIFFIN JR,07/05/37,M,CLIFFORD
GRIFFIN JR,07/05/37,M,CLARENCE
HANNA,24/11/34,M,ADDISON J
HANNA,24/11/34,M,ADDISON JOHN
HANNA,24/11/34,M,ADDISON
HANNA,24/11/34,M,ADDISON
HANNA,24/11/34,M,ADDISON
GALETICH JR,15/10/32,M,ADDISON
FUNARO JONES,06/12/37,F,HARRIET
FUNARO J,06/12/37,F,HARRIET
FUNARO,06/12/37,F,HARRIET
