ln,dob,gn,fn
SMITH JR,01/03/68,F,WILLIAM
ROTHMEYER JR,01/03/68,F,WILLIAM
ASBY JR,01/03/68,F,WILLIAM
SALTER JR,01/03/68,F,WILLIAM
MICHAELSON JR,01/05/51,M,ROY
GRIFFIN JR,07/05/37,M,DARL
GRIFFIN JR,07/05/37,M,CLIFFORD
GRIFFIN JR,07/05/37,M,CLARENCE
MUSTAPHA JR,07/10/37,M,HAROLD
HOUGHTON JR,07/10/37,M,HAROLD
MELVIN JR,07/10/37,M,HAROLD
CHAVAS JR,07/10/37,M,HAROLD
MICHAELSON JR,07/10/37,M,HAROLD
SMITH JR,07/10/37,M,HAROLD
FAGEN JR,07/10/37,M,HAROLD
FAGEN JR,07/10/37,M,GEORGE
GRIFFIN JR,07/10/37,M,DARH
BLAND JR,08/06/54,F,WILLIAM
MICHAELSON JR,09/04/47,M,ROY
MICHAELSON JR,09/04/47,M,ROBERT
MICHAELSON JR,09/04/47,M,BOB
MICHAELSON JR,09/06/39,M,JACK
LARSON JR,09/06/39,M,HAROLD
CLARK,09/06/45,M,JOHN
GRIFFIN JR,10/07/37,M,DARL
GALETICH JR,15/10/32,M,ADDISON
MICHAELSON JR,16/12/44,M,JOHN
MICHAELSON JR,17/06/48,M,ROY
LIND JR,20/01/46,M,JOHN
CAIN JR,20/01/46,M,JOHN
SHAFFER JR,21/02/62,F,WILLIAM
BLAND JR,21/02/62,F,BILL
MICHAELSON JR,24/04/40,M,JOHN
MICHAELSON JR,24/06/39,M,JOHN
MICHAELSON JR,24/06/39,M,JAMES
MICHAELSON JR,24/06/39,M,JACK
BLAND JR,25/10/53,F,WILLIAM
SHAFFER JR,25/10/53,F,WILLIAM
DUNCAN JR,25/10/53,F,THOMAS
DUNCAN JR,25/10/53,F,ROY
HOUGHTON JR,31/01/46,M,LAWRENCE
LIND JR,31/01/46,M,LAWRENCE
LIND JR,31/01/46,M,KENNETH
